timestamp,channel_id,value,unit,subsystem,sequence_number,source_file
0.0,A-1,5997.5,rpm,ADCS,0,A-1.npy
1.0,A-1,5997.5,rpm,ADCS,1,A-1.npy
2.0,A-1,5997.5,rpm,ADCS,2,A-1.npy
3.0,A-1,5997.5,rpm,ADCS,3,A-1.npy
4.0,A-1,5997.5,rpm,ADCS,4,A-1.npy
5.0,A-1,5997.5,rpm,ADCS,5,A-1.npy
6.0,A-1,5997.5,rpm,ADCS,6,A-1.npy
7.0,A-1,5997.5,rpm,ADCS,7,A-1.npy
8.0,A-1,5997.5,rpm,ADCS,8,A-1.npy
9.0,A-1,5997.5,rpm,ADCS,9,A-1.npy
10.0,A-1,5997.5,rpm,ADCS,10,A-1.npy
11.0,A-1,5997.5,rpm,ADCS,11,A-1.npy
12.0,A-1,5997.5,rpm,ADCS,12,A-1.npy
13.0,A-1,5997.5,rpm,ADCS,13,A-1.npy
14.0,A-1,5997.5,rpm,ADCS,14,A-1.npy
15.0,A-1,5997.5,rpm,ADCS,15,A-1.npy
16.0,A-1,5997.5,rpm,ADCS,16,A-1.npy
17.0,A-1,5997.5,rpm,ADCS,17,A-1.npy
18.0,A-1,5997.5,rpm,ADCS,18,A-1.npy
19.0,A-1,5997.5,rpm,ADCS,19,A-1.npy
20.0,A-1,5997.5,rpm,ADCS,20,A-1.npy
21.0,A-1,5997.5,rpm,ADCS,21,A-1.npy
22.0,A-1,5997.5,rpm,ADCS,22,A-1.npy
23.0,A-1,5997.5,rpm,ADCS,23,A-1.npy
24.0,A-1,5997.5,rpm,ADCS,24,A-1.npy
25.0,A-1,5997.5,rpm,ADCS,25,A-1.npy
26.0,A-1,5997.5,rpm,ADCS,26,A-1.npy
27.0,A-1,5997.5,rpm,ADCS,27,A-1.npy
28.0,A-1,5997.5,rpm,ADCS,28,A-1.npy
29.0,A-1,5997.5,rpm,ADCS,29,A-1.npy
30.0,A-1,5997.5,rpm,ADCS,30,A-1.npy
31.0,A-1,5997.5,rpm,ADCS,31,A-1.npy
32.0,A-1,5997.5,rpm,ADCS,32,A-1.npy
33.0,A-1,5997.5,rpm,ADCS,33,A-1.npy
34.0,A-1,5997.5,rpm,ADCS,34,A-1.npy
35.0,A-1,5997.5,rpm,ADCS,35,A-1.npy
36.0,A-1,5997.5,rpm,ADCS,36,A-1.npy
37.0,A-1,5997.5,rpm,ADCS,37,A-1.npy
38.0,A-1,5997.5,rpm,ADCS,38,A-1.npy
39.0,A-1,5997.5,rpm,ADCS,39,A-1.npy
40.0,A-1,5997.5,rpm,ADCS,40,A-1.npy
41.0,A-1,5997.5,rpm,ADCS,41,A-1.npy
42.0,A-1,5997.5,rpm,ADCS,42,A-1.npy
43.0,A-1,5997.5,rpm,ADCS,43,A-1.npy
44.0,A-1,5997.5,rpm,ADCS,44,A-1.npy
45.0,A-1,5997.5,rpm,ADCS,45,A-1.npy
